,start_ts,weather_conditions,duration_seconds
503,2017-11-11 17:00:00,Good,2100.0
504,2017-11-04 12:00:00,Good,2460.0
505,2017-11-18 13:00:00,Bad,2460.0
506,2017-11-04 14:00:00,Good,3510.0
507,2017-11-04 13:00:00,Good,2460.0
508,2017-11-11 16:00:00,Good,2560.0
509,2017-11-11 14:00:00,Good,2040.0
510,2017-11-11 06:00:00,Good,1277.0
511,2017-11-04 20:00:00,Good,2220.0
512,2017-11-18 14:00:00,Good,2760.0
513,2017-11-04 14:00:00,Good,3286.0
514,2017-11-11 15:00:00,Good,2800.0
515,2017-11-11 05:00:00,Good,1362.0
516,2017-11-04 12:00:00,Good,2577.0
517,2017-11-04 14:00:00,Good,3261.0
518,2017-11-04 17:00:00,Bad,2580.0
519,2017-11-04 09:00:00,Good,1878.0
520,2017-11-04 10:00:00,Good,2697.0
521,2017-11-04 15:00:00,Good,3351.0
522,2017-11-25 09:00:00,Good,1513.0
523,2017-11-18 06:00:00,Good,1260.0
524,2017-11-18 08:00:00,Bad,1500.0
525,2017-11-04 11:00:00,Good,1800.0
526,2017-11-11 06:00:00,Good,1395.0
527,2017-11-18 05:00:00,Good,1977.0
528,2017-11-04 06:00:00,Good,1620.0
529,2017-11-18 08:00:00,Bad,1740.0
530,2017-11-25 10:00:00,Good,1440.0
531,2017-11-18 12:00:00,Bad,2220.0
532,2017-11-18 17:00:00,Bad,2133.0
533,2017-11-18 16:00:00,Bad,3240.0
534,2017-11-04 11:00:00,Good,2895.0
535,2017-11-11 06:00:00,Good,1380.0
536,2017-11-11 12:00:00,Good,2122.0
537,2017-11-11 10:00:00,Good,1432.0
538,2017-11-11 16:00:00,Good,2427.0
539,2017-11-04 12:00:00,Good,2700.0
540,2017-11-11 12:00:00,Good,1860.0
541,2017-11-04 05:00:00,Good,1200.0
542,2017-11-18 11:00:00,Good,1980.0
543,2017-11-18 06:00:00,Good,1500.0
544,2017-11-04 10:00:00,Good,1980.0
545,2017-11-04 14:00:00,Good,3059.0
546,2017-11-11 11:00:00,Good,1832.0
547,2017-11-04 08:00:00,Good,1757.0
548,2017-11-04 15:00:00,Good,3396.0
549,2017-11-18 12:00:00,Bad,3461.0
550,2017-11-04 10:00:00,Good,2333.0
551,2017-11-11 13:00:00,Good,2103.0
552,2017-11-04 01:00:00,Good,0.0
553,2017-11-11 12:00:00,Good,2330.0
554,2017-11-25 16:00:00,Good,2563.0
555,2017-11-11 07:00:00,Good,1203.0
556,2017-11-04 16:00:00,Bad,2761.0
557,2017-11-11 12:00:00,Good,2029.0
558,2017-11-04 06:00:00,Good,1351.0
559,2017-11-11 14:00:00,Good,2640.0
560,2017-11-11 06:00:00,Good,1380.0
561,2017-11-04 07:00:00,Good,1260.0
562,2017-11-04 10:00:00,Good,1975.0
563,2017-11-11 06:00:00,Good,1200.0
564,2017-11-11 05:00:00,Good,1296.0
565,2017-11-04 04:00:00,Good,1440.0
566,2017-11-11 08:00:00,Good,1440.0
567,2017-11-11 12:00:00,Good,2133.0
568,2017-11-18 12:00:00,Bad,2580.0
569,2017-11-18 15:00:00,Good,2889.0
570,2017-11-04 08:00:00,Good,1800.0
571,2017-11-18 10:00:00,Bad,2280.0
572,2017-11-25 17:00:00,Good,2340.0
573,2017-11-18 07:00:00,Bad,1380.0
574,2017-11-04 11:00:00,Good,2531.0
575,2017-11-11 08:00:00,Good,1500.0
576,2017-11-04 18:00:00,Bad,2280.0
577,2017-11-04 17:00:00,Bad,2580.0
578,2017-11-11 14:00:00,Good,3614.0
579,2017-11-18 14:00:00,Good,2722.0
580,2017-11-04 13:00:00,Good,3420.0
581,2017-11-11 08:00:00,Good,1320.0
582,2017-11-04 17:00:00,Bad,2330.0
583,2017-11-11 16:00:00,Good,4980.0
584,2017-11-11 07:00:00,Good,1320.0
585,2017-11-18 06:00:00,Good,1800.0
586,2017-11-18 08:00:00,Bad,1620.0
